batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,76,0.7,6.35,0.0,1.0,14.7877,3,172.16.50.163,Descendant of 49,2,0,../data/logs,../data/models,0.05,1,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,78,53,0,[],154,207,../data/tables,1564556359,MNIST,1390000.0,30.53,0
128,77,0.7,6.35,0.0,1.0,14.884,3,172.16.50.177,Child of 90 and 59,2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,461,44,1,[],342,207,../data/tables,1564556643,MNIST,1390000.0,30.53,0
128,78,0.7,6.35,0.0,1.0,14.8083,3,172.16.50.163,Child of 23 and 22,2,0,../data/logs,../data/models,0.05,2,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,490,69,3,[],111,380,../data/tables,1564556713,MNIST,1390000.0,30.53,0
128,79,0.7,6.35,0.0,1.0,14.744,3,172.16.50.177,Child of 94 and 40,2,0,../data/logs,../data/models,0.05,2,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,15,95,3,[],346,56,../data/tables,1564557435,MNIST,1390000.0,30.53,0
128,80,0.7,6.35,0.0,1.0,15.608,3,172.16.50.163,Child of 39 and 63,2,0,../data/logs,../data/models,0.05,1,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,401,94,5,[],447,240,../data/tables,1564557586,MNIST,1390000.0,30.53,0
128,81,0.7,6.35,0.0,1.0,15.5597,3,172.16.50.235,Child of 57 and 42 [Mutated],2,0,../data/logs,../data/models,0.05,1,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,356,15,5,[],13,212,../data/tables,1564557879,MNIST,1390000.0,30.53,0
128,82,0.7,6.35,0.0,1.0,14.7898,3,172.16.50.181,Descendant of 46,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,390,41,3,[],216,65,../data/tables,1564558126,MNIST,1390000.0,30.53,0
128,83,0.7,6.35,0.0,1.0,14.7973,3,172.16.50.181,Child of 71 and 85,2,0,../data/logs,../data/models,0.05,1,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,33,69,1,[],100,111,../data/tables,1564558835,MNIST,1390000.0,30.53,0
128,84,0.7,6.35,0.0,1.0,14.8001,3,172.16.50.177,Descendant of 55,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,505,58,1,[],297,51,../data/tables,1564558818,MNIST,1390000.0,30.53,0
128,85,0.7,6.35,0.0,1.0,14.8172,3,172.16.50.163,Child of 73 and 28,2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,253,68,3,[],74,41,../data/tables,1564558830,MNIST,1390000.0,30.53,0
128,86,0.7,6.35,0.0,1.0,14.7795,3,172.16.50.181,Child of 98 and 96,2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,429,71,2,[],235,441,../data/tables,1564559210,MNIST,1390000.0,30.53,0
128,87,0.7,6.35,0.0,1.0,14.8161,3,172.16.50.177,Child of 8 and 73,2,0,../data/logs,../data/models,0.05,2,3,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,15,56,5,[],423,41,../data/tables,1564559565,MNIST,1390000.0,30.53,0
128,88,0.7,6.35,0.0,1.0,14.6738,3,172.16.50.163,Child of 68 and 2 [Mutated],2,0,../data/logs,../data/models,0.05,1,1,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,345,103,2,[],347,328,../data/tables,1564559820,MNIST,1390000.0,30.53,0
128,89,0.7,6.35,0.0,1.0,14.8191,3,172.16.50.235,Child of 83 and 65 [Mutated],2,0,../data/logs,../data/models,0.05,2,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,199,72,4,[],87,443,../data/tables,1564559863,MNIST,1390000.0,30.53,0
128,90,0.7,6.35,0.0,1.0,19.4764,3,172.16.50.181,Child of 32 and 18,2,0,../data/logs,../data/models,0.05,2,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,190,123,3,[],216,484,../data/tables,1564560008,MNIST,1390000.0,30.53,0
128,91,0.7,6.35,0.0,1.0,14.9836,3,172.16.50.177,Descendant of 57,2,0,../data/logs,../data/models,0.05,1,2,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,98,15,5,[],13,164,../data/tables,1564560214,MNIST,1390000.0,30.53,0
128,92,0.7,6.35,0.0,1.0,14.7645,3,172.16.50.177,Child of 14 and 13,2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,356,82,0,[],36,295,../data/tables,1564560420,MNIST,1390000.0,30.53,0
128,93,0.7,6.35,0.0,1.0,14.2347,3,172.16.50.163,Descendant of 26,2,0,../data/logs,../data/models,0.05,1,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,337,46,2,[],385,441,../data/tables,1564560934,MNIST,1390000.0,30.53,0
